"","Rk","Player","Pro_Bowl","Abbreviation","Tm","Age","Pos","G","GS","Tgt","Rec","Ctch.","Yds","Y.R","TD","Lng","Y.Tgt","R.G","Y.G","Fmb","Player_ID"
"134",134,"Will Fuller","0","FullWi01","HOU",24,"wr",7,7,45,32,0.711,503,15.7,4,73,11.2,4.6,71.9,0,"4797eee2ad56bc898ab890a07a99a247116ab88b"
"135",135,"Kerryon Johnson","0","JohnKe06","DET",21,"rb/wr",10,7,39,32,0.821,213,6.7,1,24,5.5,3.2,21.3,1,"786ffe2e80a70c80b584fd6ed66ba4da020cd279"
"136",136,"Bruce Ellington","0","ElliBr00","2TM",27,NA,7,3,42,31,0.738,224,7.2,1,23,5.3,4.4,32,1,"9b0ba19d0066970f35981d7456e017a105225ffb"
"137",137,"Jeff Heuerman","0","HeueJe00","DEN",26,"TE",11,10,48,31,0.646,281,9.1,2,36,5.9,2.8,25.5,0,"1b3fcc93e33e1fca0064b1868d52a170b9df29d8"
"140",140,"Jesse James","0","JameJe00","PIT",24,"te",16,7,39,30,0.769,423,14.1,2,51,10.8,1.9,26.4,0,"f429b48494d57b0a73c34fd51fd994b6dfdf0ed8"
"141",141,"Kyle Juszczyk","1","JuszKy00","SFO",27,"FB",16,14,41,30,0.732,324,10.8,1,56,7.9,1.9,20.3,2,"39b3b6b95d47300f8659122bd8638e6d322202af"
"142",142,"Jamison Crowder","0","CrowJa00","WAS",25,"wr",9,7,49,29,0.592,388,13.4,2,79,7.9,3.2,43.1,0,"652ed04bf9feb6069a08a973f6b8100c4767a7aa"
"143",143,"Josh Reynolds","0","ReynJo00","LAR",23,"WR",16,8,53,29,0.547,402,13.9,5,33,7.6,1.8,25.1,0,"768445ea40a14a50c3f0114536fae2a1fc58b748"
"145",145,"Keke Coutee","0","CoutKe00","HOU",21,"wr",6,2,41,28,0.683,287,10.3,1,40,7,4.7,47.8,0,"bbbc6db83c13e4adddbe42336ef4739b9f38bee4"
"146",146,"Antonio Gates","0","GateAn00","LAC",38,"te",16,1,45,28,0.622,333,11.9,2,27,7.4,1.8,20.8,1,"9a92eff1b9002a65cd4f8ac65e288a2c3540e37d"
"147",147,"Maurice Harris","0","HarrMa05","WAS",26,"wr",12,7,47,28,0.596,304,10.9,0,42,6.5,2.3,25.3,1,"1acfa9a812912ab8c99dc83b674160ca09b5a59c"
"148",148,"Dontrelle Inman","0","InmaDo00","IND",29,"wr",9,4,39,28,0.718,304,10.9,3,29,7.8,3.1,33.8,0,"7cb6bc031cf933358674458a216c402a7df2ba1f"
"150",150,"Tre'Quan Smith","0","SmitTr03","NOR",22,"wr",15,7,44,28,0.636,427,15.3,5,62,9.7,1.9,28.5,0,"68ffaac519611bbdd2ce8d3e384d20566b0c1d39"
"152",152,"Robert Foster","0","FostRo01","BUF",24,"wr",13,3,44,27,0.614,541,20,3,75,12.3,2.1,41.6,0,"e8528d921df9cb8409b9003d58dd654bb4b65069"
"154",154,"Greg Olsen","0","OlseGr00","CAR",33,"TE",9,9,38,27,0.711,291,10.8,4,23,7.7,3,32.3,0,"eb39c08bc972bd897bf346ee9987b829e70b444f"
"156",156,"Dante Pettis","0","PettDa00","SFO",23,"wr",12,7,45,27,0.6,467,17.3,5,75,10.4,2.3,38.9,2,"adabf6c5c44b162265b5ae011b2e90db3d5e8aac"
"159",159,"Jack Doyle","0","DoylJa00","IND",28,"te",6,6,33,26,0.788,245,9.4,2,20,7.4,4.3,40.8,1,"573276027b6b07a8596991dace2b12a03b551438"
"160",160,"Kareem Hunt","0","HuntKa00","KAN",23,"RB",11,11,35,26,0.743,378,14.5,7,67,10.8,2.4,34.4,0,"1e8454dbd12fd6c88ad911301445b1fafa87c6fe"
"162",162,"David Moore","0","MoorDa03","SEA",23,"wr",16,7,53,26,0.491,445,17.1,5,54,8.4,1.6,27.8,2,"2abca4277bfb49a16bd7c9d1186c90d2e03b27d2"
"165",165,"Geoff Swaim","0","SwaiGe00","DAL",25,"TE",9,9,32,26,0.813,242,9.3,1,43,7.6,2.9,26.9,0,"a7459d6efe988aba2f1daf725e29b6362b066ee5"
"167",167,"Albert Wilson","0","WilsAl02","MIA",26,"wr",7,3,35,26,0.743,391,15,4,75,11.2,3.7,55.9,0,"fccaff1ba47a8380a4330c137c6a0e62faf207f5"
"168",168,"Kelvin Benjamin","0","BenjKe00","2TM",27,NA,15,10,67,25,0.373,380,15.2,1,40,5.7,1.7,25.3,0,"077628783dbc90f523fa488d5bd1b52492a2e702"
"169",169,"Vernon Davis","0","DaviVe00","WAS",34,"te/wr",14,8,36,25,0.694,367,14.7,2,53,10.2,1.8,26.2,0,"4caa3bf3861f1f44c45ee5ab9b9b1a399819d0b2"
"173",173,"Pierre Garcon","0","GarcPi00","SFO",32,"WR",8,8,46,24,0.522,286,11.9,1,25,6.2,3,35.8,0,"51ba38aece3caa59022b539096153193aba28adb"
"174",174,"Ryan Griffin","0","GrifRy00","HOU",28,"TE",14,11,43,24,0.558,305,12.7,0,47,7.1,1.7,21.8,0,"24a44700943e6cdab5c09054eb887dd96bda56ca"
"178",178,"DeVante Parker","0","ParkDe01","MIA",25,"wr",11,7,47,24,0.511,309,12.9,1,46,6.6,2.2,28.1,0,"4c27612f9b81c32d6b94d5323bc2350d99641ea6"
"180",180,"Marquise Goodwin","0","GoodMa00","SFO",28,"WR",11,8,43,23,0.535,395,17.2,4,67,9.2,2.1,35.9,1,"f52b67218af27dc615bb315dd64b3c90c3a47557"
"186",186,"Leonard Fournette","0","FourLe00","JAX",23,"RB",8,8,26,22,0.846,185,8.4,1,31,7.1,2.8,23.1,0,"3fd88f0a02be7cfb16d482de27c9cc48fcaf1e88"
"192",192,"Jakeem Grant","0","GranJa00","MIA",26,"wr",10,2,34,21,0.618,268,12.8,2,52,7.9,2.1,26.8,0,"13051fee8a40e86740d847099bd16768551a92e1"
"196",196,"Equanimeous St. Brown","0","St.BEq00","GNB",22,"wr",12,7,36,21,0.583,328,15.6,0,54,9.1,1.8,27.3,0,"911f9d3875ea30777a8b187a4327209b18afbc53"
"198",198,"Geronimo Allison","0","AlliGe01","GNB",24,"wr",5,4,30,20,0.667,303,15.2,2,64,10.1,4,60.6,1,"fd13ca2fc1605cf2de040155f94a08dfd49dbbbc"
"207",207,"Jordan Matthews","0","MattJo00","PHI",26,"wr",14,3,28,20,0.714,300,15,2,56,10.7,1.4,21.4,0,"ef8794fb2d350e3dc93127722ddfcf307787b133"
"209",209,"Paul Richardson","0","RichPa01","WAS",26,"wr",7,4,35,20,0.571,262,13.1,2,46,7.5,2.9,37.4,0,"d7459640f8288292e5187f1b64891a8793cbe596"
"213",213,"Martavis Bryant","0","BryaMa00","OAK",27,"wr",8,2,27,19,0.704,266,14,0,47,9.9,2.4,33.3,1,"4355fc26f28c281a404470602b08caaee8581a3d"
